Code,Description
1101,1101 - Tillable Irrigated Land
1151,1151 - Exempt Tillable Irrigated Land
1401,1401 - Tillable Non-Irrigated Land/Summer/Fallow
1451,1451 - Exempt Tillable Non-Irrigated Land/Summer/Fallow
1501,"1501 - Tillable, Non-Irrigated, Continuously Cropped"
1551,"1551 - Exempt Tillable, Non-Irrigated, Continuously Cropped"
1601,1601 - Grazing Land
1651,1651 - Exempt Grazing Land
1701,1701 - Non-Qualified Ag Land 20-160 Acres
1751,1751 - Exempt Non-Qualified Ag Land 20-160 Acres
1801,1801 - Wild Hay Land
1851,1851 - Exempt Wild Hay Land
1901,1901 - Forestland
1951,1951 - Exempt Forestland
2001,"2001 - 1 Acre Farmstead - Ag 15-7-202(1)(c)(ii), MCA"
2002,2002 - 1 Acre Bldg. Site on Non-Qualified Ag Land
2003,2003 - 1 Acre Bldg. Site - Forest
2032,2032 - Property Tax Asst Bldg Site 80% reduction
2035,2035 - Property Tax Asst Bldg Site 50% reduction
2037,2037 - Property Tax Asst Bldg Site 30% reduction
2040,2040 - MDV Bldg Site Exempt
2042,2042 - MDV Bldg Site 80% reduction
2043,2043 - MDV Bldg Site 70% reduction
2045,2045 - MDV Bldg Site 50% reduction
2094,2094 - SB 94 Land Value Property Tax Assistance
2101,2101 - Tract Land
2107,2107 - Commercial Tract Land
2109,2109 - Locally Assessed Co-op Tract Land
2118,2118 - Nonproductive Patented Mining Claim
2127,2127 - Multifamily Tract Land
2132,2132 - Property Tax Asst Land 80% reduction
2135,2135 - Property Tax Asst Land 50% reduction
2137,2137 - Property Tax Asst Land 30% reduction
2140,2140 - MDV Land Exempt
2141,2141 - MDV Land 80% reduction
2142,2142 - MDV Land 70% reduction
2143,2143 - MDV Land 50% reduction
2150,2150 - Exempt Res or Sub. Land/1 Acre Farmstead
2151,2151 - Exempt Agricultural Land
2152,2152 - Exempt Forestland
2153,2153 - Exempt Commercial Land
2154,2154 - Exempt Industrial Land
2155,2155 - Exempt Deeded R/W Land
2156,2156 - Exempt Navigable River Ag Land
2157,2157 - Exempt Navigable River Non-Qual Ag Land
2158,2158 - Exempt Navigable River Forest Land
2159,2159 - Exempt Navigable River Tract Land
2160,2160 - Designated Open Space Land
2201,2201 - Residential City or Town Lots
2207,2207 - Commercial City or Town Lots
2209,2209 - Locally Assessed Co-op/City or Town Lots
2227,2227 - Multifamily City/Town Lots
2311,2311 - Golf Course Land
2610,2610 - Lease Land - Tower Site
2611,2611 - Industrial Land
2615,2615 - Locally Assessed Co-op Ind. Land
2651,2651 - New Industry Land
2652,2652 - Research and Development Land
3109,3109 - Imps Ag or Forest Land (Multijurisdictional Dist)
3110,3110 - Improvements on Ag Land
3111,3111 - Imps on Disparately Owned Agricultural or Forest Land
3112,3112 - Imps on Disparately Owned Ag/Timber ($1500)
3137,3137 - Property Tax Asst Imp 80% reduction
3140,3140 - Property Tax Asst Imp 50% reduction
3142,3142 - Property Tax Asst Imp 30% reduction
3145,3145 - MDV Exempt Improvements
3146,3146 - MDV Imp 80% reduction
3147,3147 - MDV Imp 70% reduction
3148,3148 - MDV Imp 50% reduction
3149,3149 - Residential/Suburban Exempt Improvements
3150,3150 - Commercial Exempt Improvements
3151,3151 - Ag or Forest Exempt Improvements
3152,3152 - Industrial Exempt Improvements
3153,3153 - Improvements on Designated Open Space Land
3200,3200-Residential Historic Property Tax Abatement-Yr of cnstr
3201,3201 - Residential Historic Property Tax Abatement 1st year
3202,3202 - Residential Historic Property Tax Abatement 2nd year
3203,3202 - Residential Historic Property Tax Abatement 2nd year
3204,3204 - Residential Historic Property Tax Abatement 4th year
3205,3205 - Residential Historic Property Tax Abatement 5th year
3210,3210 -Commercial Historic Property Tax Abatement-Yr of cnstr
3211,3211 - Commercial Historic Property Tax Abatement 1st year
3212,3212 - Commercial Historic Property Tax Abatement 2nd year
3213,3213 - Commercial Historic Property Tax Abatement 3rd year
3214,3214 - Commercial Historic Property Tax Abatement 4th year
3215,3215 - Commercial Historic Property Tax Abatement 5th year
3301,3301 - Improvements on Rural Land
3307,3307 - Improvements on Commercial Tract Land
3308,3308 - Improvements on Oil Field Site
3309,3309 - Improvements on Locally Assessed or Co-op Tract Land
3310,3310
3327,3327 - Multifamily Imp. Rural Land
3357,3357 - Multifamily Imp. on City/Town Lots
3400,3400 - Natural Disaster Improvements
3407,3407 - Natural Disaster Commercial Improvements
3501,3501 - Improvements on Residential City or Town Lots
3502,3502 - Res Imp with Approved Gray Water Yr 1-10 (15-24-3201)
3507,3507 - Improvements on Commercial City or Town Lots
3509,3509 - Imps on Locally Assessed Co-op City or Town Lots
3510,3510 - Expansion of Com. Imps.- Yr of Const. (15-24-1502MCA)
3511,3511 - Expansion of Com Imps 1st year (15-24-1502 MCA)
3512,3512 - Expansion of Com Imps 2nd year (15-24-1502 MCA)
3513,3513 - Expansion of Com Imps 3rd year (15-24-1502 MCA)
3514,3514 - Expansion of Com Imps 4th year (15-24-1502 MCA)
3515,3515 - Expansion of Com Imps 5th year (15-24-1502 MCA)
3516,3516 - Expansion of Com Imps 6th year 20% (15-24-1502 MCA)
3517,3517 - Expansion of Com Imps 7th year 40% (15-24-1502 MCA)
3518,3518 - Expansion of Com Imps 8th year 60% (15-24-1502 MCA)
3519,3519 - Expansion of Com Imps 9th year 80% (15-24-1502 MCA)
3527,3527 - Multifamily Imp. on City/Town Lots
3528,3528 - Com Imp with Approved Gray Water Yr 1-10 (15-24-3201)
3543,3543 - 4th yr N & E Gas & Elec. Real Prop. (50%) 15-24-1402
3607,3607 - Commercial Improvements on Right-of-Way
3608,3608 - Residential Improvements on Right-of-Way
3609,3609 - Locally Assessed Co-op Improvements on Right-of-Way
3610,3610 - Agricultural Improvements on Right-of-Way
3613,3913 - Remodeled Res Imps - 2nd Yr after Yr of Const (40%)
3631,3631 - Hydraulic Power Works Improvements
3671,3671 - Golf Course Improvements
3672,3672 - Golf Course Imps. N & E - 1st  Year (50%)
3673,3673 - Golf Course Imps. N & E - 2nd  Year (50%)
3674,3674 - Golf Course Imps. N & E - 3rd  Year (50%)
3675,3675 - Golf Course Imps. N & E - 4th  Year (50%)
3676,3676 - Golf Course Imps. N & E - 5th  Year (50%)
3677,3677 - Golf Course Imps. N & E - 6th  Year (60%)
3678,3678 - Golf Course Imps. N & E - 7th  Year (70%)
3679,3679 - Golf Course Imps. N & E - 8th  Year (80%)
3680,3680 - Golf Course Imps. N & E - 9th  Year (90%)
3807,3807 - 1st Year New Industry Improvements (50%) 15-24-1401
3808,3808 - 2nd Year New Industry Improvements (50%) 15-24-1401
3809,3809 - 3rd Year New Industry Improvements (50%) 15-24-1401
3810,3810 - 4th Year New Industry Improvements (50%) 15-24-1401
3811,3811 - 5th Year New Industry Improvements (50%) 15-24-1401
3812,3812 - 6th Year New Industry Improvements (60%) 15-24-1401
3813,3813 - 7th Year New Industry Improvements (70%) 15-24-1401
3814,3814 - 8th Year New Industry Improvements (80%) 15-24-1401
3815,3815 - 9th Year New Industry Improvements (90%) 15-24-1401
3817,3817 - All Industrial Imps
3818,3818 - Research and Development Firm Improvements
3819,3819 - 1st Yr  New and Expanding Ind (50%) R&D 15-24-1402
3820,3820 - 2nd Yr  New and Expanding Ind  (50%) R&D 15-24-1402
3821,3821 - 3rd Yr  New and Expanding Ind (50%) R&D 15-24-1402
3822,3822 - 4th Yr  New and Expanding Ind (50%) R&D 15-24-1402
3823,3823 - 5th Yr  New and Expanding Ind (50%) R&D 15-24-1402
3824,3824 - 6th Yr  New and Expanding Ind (60%) R&D 15-24-1402
3825,3825 - 7th Yr  New and Expanding Ind (70%) R&D 15-24-1402
3826,3826 - 8th Yr  New and Expanding Ind (80%) R&D 15-24-1402
3827,3827 - 9th Yr  New and Expanding Ind (90%) R&D 15-24-1402
3828,3828 - Imps on Locally Assessed Co-op Industrial Land
3851,3851 - Improvements on New Industry Land
3855,3855 - Air and Water Pollution Control and Carbon Capture Im
3856,3856 - 1st yr Air and Water Pollution Control and Carbon
3857,3857 - 2nd yr Air and Water Pollution Control and Carbon
3858,3858 - 3rd yr Air and Water Pollution Control and Carbon
3859,3859 - 4th yr Air and Water Pollution Control and Carbon
3860,3860 - 5th yr Air and Water Pollution Control and Carbon
3861,3861 - 6th yr Air and Water Pollution Control and Carbon
3862,3896 - 7th yr Air and Water Pollution Control and Carbon
3863,3863 - 8th yr Air and Water Pollution Control and Carbon
3864,3864 - 9th yr Air and Water Pollution Control and Carbon
3865,3865 - 10th yr Air and Water Pollution Control and Carbon
3900,3900 - Remodeled Com Imps - Yr of Construction 15-24-1501
3901,3901 - Remodeled Com Imps - 1st Yr after Yr of Const. (20%)
3902,3902 - Remodeled Com Imps - 2nd Yr after Yr of Const. (40%)
3903,3903 - Remodeled Com Imps - 3rd Yr after Yr of Const. (60%)
3904,3904 - Remodeled Com Imps - 4th Yr after Yr of Const. (80%)
3905,3905 - Remodeled Com Imps - 5th Yr after Yr of Const.
3906,3906 - Remod. R&D Imps - Yr of Const. (0%) 15-24-1501/1502
3907,3907 - Remod. R&D Imps - 1st Yr after Yr of Const. (20%)
3908,3908 - Remod. R&D Imps - 2nd Yr after Yr of Const. (40%)
3909,3909 - Remod. R&D Imps - 3rd Yr after Yr of Const. (60%)
3910,3910 - Remod. R&D Imps - 4th Yr after Yr of Const. (80%)
3911,3911 - Remodeled Res Imps - Yr of Const (0%) 15-24-1501
3912,3912 - Remodeled Res Imps - 1st Yr after Yr of Const (20%)
3913,3913 - Remodeled Res Imps - 2nd Yr after Yr of Const (40%)
3914,3914 - Remodeled Res Imps - 3rd Yr after Yr of Const (60%)
3915,3915 - Remodeled Res Imps - 4th Yr after Yr of Const (80%)
3916,3916 - Remodeled Res Imps - 5th Yr after Yr of Const
3923,3923 - Remodeled Commmercial Imps 15-24-1501(4)
3924,3924 - Remodeled Residential Imps 15-24-1501(4)
3925,3925 - Remodeled Ag/Forest Imps 15-24-1501(4)
3926,3926 - Commercial Imps (County Option 20%) 15-24-1501(4)
3927,3927 - Residential Imps (County Option 20%) 15-24-1501(4)
3928,3928 - Ag/Forest Imps (County Option 20%) 15-24-1501(4)
3929,3929 - Commercial Imps (County Option 33.3%) 15-24-1501(4)
3930,3930 - Residential Imps (County Option 33.3%) 15-24-1501(4)
3931,3931 - Ag/Forest Imps (County Option 33.3%) 15-24-1501(4)
3932,3932 - Commercial Imps (County Option 40%) 15-24-1501(4)
3933,3933 - Residential Imps (County Option 40%) 15-24-1501(4)
3934,3934 - Ag/Forest Imps (County Option 40%) 15-24-1501(4)
3935,3935 - Commercial Imps (County Option 50%) 15-24-1501(4)
3936,3936 - Residential Imps (County Option 50%) 15-24-1501(4)
3937,3937 - Ag/Forest Imps (County Option 50%) 15-24-1501(4)
3938,3938 - Commercial Imps (County Option 60%) 15-24-1501(4)
3939,3939 - Residential Imps (County Option 60%) 15-24-1501(4)
3940,3940 - Ag/Forest Imps (County Option 60%) 15-24-1501(4)
3941,3941 - Commercial Imps (County Option 66.7%) 15-24-1501(4)
3942,3942 - Residential Imps (County Option 66.7%) 15-24-1501(4)
3943,3943 - Ag/Forest Imps (County Option 66.7%) 15-24-1501(4)
3944,3944 - Commercial Imps (County Option 80%) 15-24-1501(4)
3945,3945 - Residential Imps (County Option 80%) 15-24-1501(4)
3946,3946 - Ag/Forest Imps (County Option 80%) 15-24-1501(4)
4000,4000 - Gross Proceeds of Metal Mines NEI 1st year (25%)
4001,4001 - Gross Proceeds of Metal Mines NEI 2nd year (25%)
4002,4002 - Gross Proceeds of Metal Mines NEI 3rd year (25%)
4003,4003 - Gross Proceeds of Metal Mines NEI 4th year (25%)
4004,4004 - Gross Proceeds of Metal Mines NEI 5th year (25%)
4005,4005 - Gross Proceeds of Metal Mines NEI 6th year (40%)
4006,4006 - Gross Proceeds of Metal Mines NEI 7th year (55%)
4007,4007 - Gross Proceeds of Metal Mines NEI 8th year (70%)
4008,4008 -Gross Proceeds of Metal Mines NEI 9th year (85%)
4009,"4009 - Class 4 RP 1st yr NEI (25%) 15-24-1401, MCA"
4010,"4010 - Class 4 RP 2nd yr NEI (25%) 15-24-1401, MCA"
4011,"4011 - Class 4 RP 3rd yr NEI (25%) 15-24-1401, MCA"
4012,"4012 - Class 4 RP 4th yr NEI (25%) 15-24-1401, MCA"
4013,"4013 - Class 4 RP 5th yr NEI (25%) 15-24-1401, MCA"
4014,"4014 - Class 4 RP 6th yr NEI (40%) 15-24-1401, MCA"
4015,"4015 - Class 4 RP 7th yr NEI (55%) 15-24-1401, MCA"
4016,"4016 - Class 4 RP 8th yr NEI (70%) 15-24-1401, MCA"
4017,"4017 - Class 4 RP 9th yr NEI (85%) 15-24-1401, MCA"
4018,4018 - 1st yr NEI R&D Equip & PP 15-24-1402
4019,4019 - 2nd yr NEI R&D Equip & PP 15-24-1402
4020,4020 - 3rd yr NEI R&D Equip & PP 15-24-1402
4021,4021 - 4th yr NEI R&D Equip & PP 15-24-1402
4022,4022 - 5th yr NEI R&D Equip & PP 15-24-1402
4023,4023 - 6th yr NEI R&D Equip & PP 15-24-1402
4024,4024 - 7th yr NEI R&D Equip & PP 15-24-1402
4025,4025 - 8th yr NEI R&D Equip & PP 15-24-1402
4026,4026 - 9th yr NEI R&D Equip & PP 15-24-1402
4027,4027 - 1st yr NEI Research and Development (25%) 15-24-1402
4028,4028 - 2nd yr NEI Research and Development 25%) 15-24-1402
4029,4029 - 3rd yr NEI Research and Development (25%) 15-24-1402
4030,4030 - 4th yr NEI Research and Development (25%) 15-24-1402
4031,4031 - 5th yr NEI Research and Development (25%) 15-24-1402
4032,4032 - 6th yr NEI Research and Development (40%) 15-24-1402
4033,4033 - 7th yr NEI Research and Development (55%) 15-24-1402
4034,4034 - 8th yr NEI Research and Development (70%) 15-24-1402
4035,4035 - 9th yr NEI Research and Development (85%) 15-24-1402
4054,4054 - 1st yr Rural Electric and Telephone Co-op Personal NE
4055,4055 - 2nd yr Rural Electric and Telephone Co-op Personal NE
4056,4056 - 3rd yr Rural Electric and Telephone Co-op Personal NE
4057,4057 - 4th yr Rural Electric and Telephone Co-op Personal NE
4058,4058 - 5th yr Rural Electric and Telephone Co-op Personal NE
4059,4059 - 6th yr Rural Electric and Telephone Co-op Personal NE
4060,4060 - 7th yr Rural Electric and Telephone Co-op Personal NE
4061,4061 - 8th yr Rural Electric and Telephone Co-op Personal NE
4062,4062 - 9th yr Rural Electric and Telephone Co-op Personal NE
4063,4063 - 1st yr NEI - Machinery and Equipment (25%) 15-24-1402
4064,4064 - 2nd yr NEI - Machinery and Equipment (25%) 15-24-1402
4065,4065 - 3rd yr NEI - Machinery and Equipment (25%) 15-24-1402
4066,4066 - 4th yr NEI - Machinery and Equipment (25%) 15-24-1402
4067,4067 - 5th yr NEI - Machinery and Equipment (25%) 15-24-1402
4068,4068 - 6th yr NEI - Machinery and Equipment (40%) 15-24-1402
4069,4069 - 7th yr NEI - Machinery and Equipment (55%) 15-24-1402
4070,4070 - 8th yr NEI - Machinery and Equipment (70%) 15-24-1402
4071,4071 - 9th yr NEI - Machinery and Equipment (85%) 15-24-1402
4081,4081 - 1st yr NEI Gas & Electric Pers (25%) 15-24-1402
4082,4082 - 2nd yr NEI Gas & Electric Pers (25%) 15-24-1402
4083,4083 - 3rd yr NEI Gas & Electric Pers (25%) 15-24-1402
4084,4084 - 4th yr NEI Gas & Electric Pers (25%) 15-24-1402
4085,4085 - 5th yr NEI Gas & Electric Pers (25%) 15-24-1402
4086,4086 - 6th yr NEI Gas & Electric Pers (40%) 15-24-1402
4087,4087 - 7th yr NEI Gas & Electric Pers (55%) 15-24-1402
4088,4088 - 8th yr NEI Gas & Electric Pres (70%) 15-24-1402
4089,4089 - 9th yr NEI Gas & Electric Pers (85%) 15-24-1402
4153,4153 - 1st yr NEI-Elec Gen/Telecom RP (25%) 15-24-1402
4154,4154 - 2nd yr NEI-Elec Gen/Telecom RP (25%) 15-24-1402
4155,4155 - 3rd yr NEI-Elec Gen/Telecom RP (25%) 15-24-1402
4156,4156 - 4th yr NEI-Elec Gen/Telecom RP (25%) 15-24-1402
4157,4157 - 5th yr NEI-Elec Gen/Telecom RP (25%) 15-24-1402
4158,4158 - 6th yr NEI-Elec Gen/Telecom RP (40%) 15-24-1402
4159,4159 - 7th yr NEI-Elec Gen/Telecom RP (55%) 15-24-1402
4160,4160 - 8th yr NEI-Elec Gen/Telecom RP (70%) 15-24-1402
4161,4161 - 9th yr NEI-Elec Gen/Telecom RP (85%) 15-24-1402
4180,4180 - 1st yr NEI-Elec Gen/Telecom PP (25%) 15-24-1402
4181,4181 - 2nd yr NEI-Elec Gen/Telecom PP (25%) 15-24-1402
4182,4182 - 3rd yr NEI-Elec Gen/Telecom PP (25%) 15-24-1402
4183,4183 - 4th yr NEI-Elec Gen/Telecom PP (25%) 15-24-1402
4184,4184 - 5th yr NEI-Elec Gen/Telecom PP (25%) 15-24-1402
4185,4185 - 6th yr NEI-Elec Gen/Telecom PP (40%) 15-24-1402
4186,4186 - 7th yr NEI-Elec Gen/Telecom PP (55%) 15-24-1402
4187,4187 - 8th yr NEI-Elec Gen/Telecom PP (70%) 15-24-1402
4188,4188 - 9th yr NEI-Elec Gen/Telecom PP (85%) 15-24-1402
4189,4189 - Class 14 Real Property - NEI Yr 1 25% (15-24-1402)
4190,4190 - Class 14 Real Property - NEI Yr 2 25% (15-24-1402)
4191,4191 - Class 14 Real Property - NEI Yr 3 25% (15-24-1402)
4192,4192 - Class 14 Real Property - NEI Yr 4 25% (15-24-1402)
4193,4193 - Class 14 Real Property - NEI Yr 5 25% (15-24-1402)
4194,4194 - Class 14 Real Property - NEI Yr 6 40% (15-24-1402)
4195,4195 - Class 14 Real Property - NEI Yr 7 55% (15-24-1402)
4196,4196 - Class 14 Real Property - NEI Yr 8 70% (15-24-1402)
4197,4197 - Class 14 Real Property - NEI Yr 9 85% (15-24-1402)
4198,4198 - Class 14 PP - NEI Yr 1 25% (15-24-1402)
4199,4199 - Class 14 PP - NEI Yr 2 25% (15-24-1402)
4200,4200 - Class 14 PP - NEI Yr 3 25% (15-24-1402)
4201,4201 - Class 14 PP - NEI Yr 4 25% (15-24-1402)
4202,4202 - Class 14 PP - NEI Yr 5 25% (15-24-1402)
4203,4203 - Class 14 PP - NEI Yr 6 40% (15-24-1402)
4204,4204 - Class 14 PP - NEI Yr 7 55% (15-24-1402)
4205,4205 - Class 14 PP - NEI Yr 8 70% (15-24-1402)
4206,4206 - Class 14 PP - NEI Yr 9 85% (15-24-1402)
4216,4216 - Class 15 Real Property - NEI Yr 1 25% (15-24-1402)
4217,4217 - Class 15 Real Property - NEI Yr 2 25% (15-24-1402)
4218,4218 - Class 15 Real Property - NEI Yr 3 25% (15-24-1402)
4219,4219 - Class 15 Real Property - NEI Yr 4 25% (15-24-1402)
4220,4220 - Class 15 Real Property - NEI Yr 5 25% (15-24-1402)
4221,4221 - Class 15 Real Property - NEI Yr 6 40% (15-24-1402)
4222,4222 - Class 15 Real Property - NEI Yr 7 55% (15-24-1402)
4223,4223 - Class 15 Real Property - NEI Yr 8 70% (15-24-1402)
4224,4224 - Class 15 Real Property - NEI Yr 9 85% (15-24-1402)
4225,4225 - Class 15 PP - NEI Yr 1 25% (15-24-1402)
4226,4226 - Class 15 PP - NEI Yr 2 25% (15-24-1402)
4227,4227 - Class 15 PP - NEI Yr 3 25% (15-24-1402)
4228,4228 - Class 15 PP - NEI Yr 4 25% (15-24-1402)
4229,4229 - Class 15 PP - NEI Yr 5 25% (15-24-1402)
4230,4230 - Class 15 PP - NEI Yr 6 40% (15-24-1402)
4231,4231 - Class 15 PP - NEI Yr 7 55% (15-24-1402)
4232,4232 - Class 15 PP - NEI Yr 8 70% (15-24-1402)
4233,4233 - Class 15 PP - NEI Yr 9 85% (15-24-1402)
4243,4243 - Class 16 Real Property - NEI Yr 1 25% (15-24-1402)
4244,4244 - Class 16 Real Property - NEI Yr 2 25% (15-24-1402)
4245,4245 - Class 16 Real Property - NEI Yr 3 25% (15-24-1402)
4246,4246 - Class 16 Real Property - NEI Yr 4 25% (15-24-1402)
4247,4247 - Class 16 Real Property - NEI Yr 5 25% (15-24-1402)
4248,4248 - Class 16 Real Property - NEI Yr 6 40% (15-24-1402)
4249,4249 - Class 16 Real Property - NEI Yr 7 55% (15-24-1402)
4250,4250 - Class 16 Real Property - NEI Yr 8 70% (15-24-1402)
4251,4251 - Class 16 Real Property - NEI Yr 9 85% (15-24-1402)
4252,4252 - Class 16 PP - NEI Yr 1 25% (15-24-1402)
4253,4253 - Class 16 PP - NEI Yr 2 25% (15-24-1402)
4254,4254 - Class 16 PP - NEI Yr 3 25% (15-24-1402)
4255,4255 - Class 16 PP - NEI Yr 4 25% (15-24-1402)
4256,4256 - Class 16 PP - NEI Yr 5 25% (15-24-1402)
4257,4257 - Class 16 PP - NEI Yr 6 40% (15-24-1402)
4258,4258 - Class 16 PP - NEI Yr 7 55% (15-24-1402)
4259,4259 - Class 16 PP - NEI Yr 8 70% (15-24-1402)
4260,4260 - Class 16 PP - NEI Yr 9 85% (15-24-1402)
4270,4270 - Class 17 Real Property (15-6-162)
4271,4271 - Class 17 Personal Property (15-6-162)
4273,4273 - Class 17 Real Property - NEI Yr 1 25% (15-24-1402)
4274,4274 - Class 17 Real Property - NEI Yr 2 25% (15-24-1402)
4275,4275 - Class 17 Real Property - NEI Yr 3 25% (15-24-1402)
4276,4276 - Class 17 Real Property - NEI Yr 4 25% (15-24-1402)
4277,4277 - Class 17 Real Property - NEI Yr 5 25% (15-24-1402)
4278,4278 - Class 17 Real Property - NEI Yr 6 40% (15-24-1402)
4279,4279 - Class 17 Real Property - NEI Yr 7 55% (15-24-1402)
4280,4280 - Class 17 Real Property - NEI Yr 8 70% (15-24-1402)
4281,4281 - Class 17 Real Property - NEI Yr 9 85% (15-24-1402)
4282,4282 - Class 17 Real Property - NEI Yr 1 50% (15-24-1402)
4283,4283 - Class 17 Real Property - NEI Yr 2 50% (15-24-1402)
4284,4284 - Class 17 Real Property - NEI Yr 3 50% (15-24-1402)
4285,4285 - Class 17 Real Property - NEI Yr 4 50% (15-24-1402)
4286,4286 - Class 17 Real Property - NEI Yr 5 50% (15-24-1402)
4287,4287 - Class 17 Real Property - NEI Yr 6 60% (15-24-1402)
4288,4288 - Class 17 Real Property - NEI Yr 7 70% (15-24-1402)
4289,4289 - Class 17 Real Property - NEI Yr 8 80% (15-24-1402)
4290,4290 - Class 17 Real Property - NEI Yr 9 90% (15-24-1402)
4291,4291 - Class 17 PP - NEI Yr 1 25% (15-24-1402)
4292,4292 - Class 17 PP - NEI Yr 2 25% (15-24-1402)
4293,4293 - Class 17 PP - NEI Yr 3 25% (15-24-1402)
4294,4294 - Class 17 PP - NEI Yr 4 25% (15-24-1402)
4295,4295 - Class 17 PP - NEI Yr 5 25% (15-24-1402)
4296,4296 - Class 17 PP - NEI Yr 6 40% (15-24-1402)
4297,4297 - Class 17 PP - NEI Yr 7 55% (15-24-1402)
4298,4298 - Class 17 PP - NEI Yr 8 70% (15-24-1402)
4299,4299 - Class 17 PP - NEI Yr 9 85% (15-24-1402)
4300,4300 - Class 17 PP - NEI Yr 1 50% (15-24-1402)
4301,4301 - Class 17 PP - NEI Yr 2 50% (15-24-1402)
4302,4302 - Class 17 PP - NEI Yr 3 50% (15-24-1402)
4303,4303 - Class 17 PP - NEI Yr 4 50% (15-24-1402)
4304,4304 - Class 17 PP - NEI Yr 5 50% (15-24-1402)
4305,4305 - Class 17 PP - NEI Yr 6 60% (15-24-1402)
4306,4306 - Class 17 PP - NEI Yr 7 70% (15-24-1402)
4307,4307 - Class 17 PP - NEI Yr 8 80% (15-24-1402)
4308,4308 - Class 17 PP - NEI Yr 9 90% (15-24-1402)
5001,"5001 - All Horses & Mules, 9 Months & older"
5002,"5002 - All Cattle, 9 Months & older & Yaks"
5003,"5003 - All Bison, 9 Months & older"
5006,"5006 - All Sheep, 9 Months & older"
5007,5007 - All Swine (including exotic) 3 Months & older
5008,5008 - All Goats
5009,5009 - All Poultry
5010,5010 - All Bees
5011,"5011 - All Domestic Ungulates, 9 Months & older"
5012,"5012 - All Emus, Ostriches & Rheas, 9 Months & older"
5013,"5013 - All Llamas and Alpacas, 9 Months & older"
5851,5851
5900,5900
6000,6000
6100,6100 - Non-Filing/Late Filing Penalty 15-1-303 MCA
6101,6101 - Tax Rate Adjustment Threshold (TRAT) Portion of Value
6103,6103 - TRAT Market Value Adjusting Entry
6105,6105 - Tax Rate Adjustment Threshold (TRAT) Portion-NEI 50%
6106,6106 - Tax Rate Adjustment Threshold (TRAT) Portion-NEI 60%
6107,6107 - Tax Rate Adjustment Threshold (TRAT) Portion-NEI 70%
6108,6108 - Tax Rate Adjustment Threshold (TRAT) Portion-NEI 80%
6109,6109 - Tax Rate Adjustment Threshold (TRAT) Portion-NEI 90%
6111,6111 - Agricultural Implements & Machinery
6112,6112 - Tax Rate Adjustment Threshold - NEI 25%
6113,6113 - Tax Rate Adjustment Threshold - NEI 40%
6114,6114 - Tax Rate Adjustment Threshold - NEI 55%
6115,6115 - Tax Rate Adjustment Threshold - NEI 85%
6150,6150 - Penalty Asmt for Failure to Report Under 15-1-303 MCA
6201,6201 - Manufactured and Mobile Homes
6204,"6204 - Exempt Manufactured and Mobile Homes 15-6-241, MCA"
6210,6210 - Military Exempt Personal Property Manuf/Mobile Homes
