Code,Description
6215,6215 - Military Manuf. /  Mobile Homes (50% Exempt)
6219,6219 - Other Exempt Manufactured and Mobile Homes
6220,6220 - Manufactured and Mobile Home Natural Disaster
6237,6237 - Property Tax Asst Manuf or MOB 80% reduction
6240,6240 - Property Tax Asst Manuf or MOB 50% reduction
6242,6242 - Property Tax Asst Manuf or MOB 30% reduction
6245,6245 - MDV Manuf or MOB Exempt
6246,6246 - MDV Manuf or MOB 80% reduction
6247,6247 - MDV Manuf or MOB 70% reduction
6248,6248 - MDV Manuf or MOB 50% reduction
6300,6300 - Intangible Software
6301,6301 - Other Intangible Software
6302,6302 - Exempt Personal Property
6311,6311 - Furniture and Fixtures of Commercial Properties
6314,6314 - Locally Assessed Telephone/Electric Co-op Furn/Fixt.
6315,6315 - Furniture/Fixtures Owned by Locally Assessed Utility
6400,"6400 - Value Added Machinery (15-24-2403, MCA)"
6401,6401 - 1st Yr New & Expanding Industry - Machinery & Equip.
6402,6402 - 2nd Yr New & Expanding Industry - Machinery & Equip.
6403,6403 - 3rd Yr New & Expanding Industry - Machinery & Equip.
6404,6404 - 4th Yr New & Expanding Industry - Machinery & Equip.
6405,6405 - 5th Yr New & Expanding Industry - Machinery & Equip.
6406,6406 - 6th Yr New & Expanding Industry - Machinery & Equip.
6407,6407 - 7th Yr New & Expanding Industry - Machinery & Equip.
6408,6408 - 8th Yr New & Expanding Industry - Machinery & Equip.
6409,6409 - 9th Yr New & Expanding Industry - Machinery & Equip.
6410,"6410 - Research & Development Machinery, Equip. & Other PP"
6411,6411 - 1st Yr New and Expanding Industry R&D Equip/Other PP
6412,6412 - 2nd Yr New and Expanding Industry R&D Equip/Other PP
6413,6413 - 3rd Yr New and Expanding Industry R&D Equip/Other PP
6414,6414 - 4th Yr New and Expanding Industry R&D Equip/Other PP
6415,6415 - 5th Yr New and Expanding Industry R&D Equip/Other PP
6416,6416 - 6th Yr New and Expanding Industry R&D Equip/Other PP
6417,6417 - 7th Yr New and Expanding Industry R&D Equip/Other PP
6418,6418 - 8th Yr New and Expanding Industry R&D Equip/Other PP
6419,6419 - 9th Yr New and Expanding Industry R&D Equip/Other PP
6420,6420-Idle Business Personal Property-Local Abatement (95%)
6422,"6422 - Ag Processing Facility Imps Exemption (15-6-220, MCA)"
6500,6500 - Coal & Ore Haulers
6510,6510 - Non-Exempt Tools & Other Shop Equipment
6511,6511 - Heavy Equipment & SM Equipment
6512,"6512 - Hand Held Shop Tools Over $15,000 Market"
6513,"6513 - Exemption - 1st $100,000 Non-fossil Energy Generation"
6514,6514 - Manufacturing Machinery and Manufacturing Tools
6515,6515 - Mining Machinery and Mining Tools
6516,"6516 - Oil/Gas Field Equip, Including Skidable, Port. Bldgs"
6517,6517 - Ski Lifts
6518,6518 - New Industry Machinery and Equipment & Other PP
6519,6519 - Supplies & Materials
6520,6520 - Oil Drill Rigs
6521,6521 - Seismograph Rigs and Equipment
6522,6522 - Service & Workover Rigs & Related Oilfield Equipment
6532,"6532 - HH Tools < $15,000, Non HH Tools, owned Loc. Utility"
6533,6533 - Mfg Machinery/Tools Owned by Loc. Assd Utility
6534,6534 - Supplies/Materials owned by Loc. Assessed Utility
6535,6535 - Locally Assd Heavy Equip owned Centrally Assd Utility
6536,6536 - Locally Assessed Utility Intra-County Lines
6551,6551 - Locally Assessed RTA and REA Co-op PP
6554,6554 - Locally Assessed Intra-County Co-op Lines
6555,6555 - Other Proerty of Locally Assessed Co-op (NEC)
6571,6571 - Prop used/owned by corp/other org for rural telecomm.
6572,6572 - Locally assessed telephone situs/rural phones
6573,6573 - Elec Transf/meters/light/power/ nat. gas/oth utilitie
6574,6574 - Penalty Asmt for Failure to Report under 15-1-303 MCA
6575,6575 - 1st yr Alt Renewable Energy Small Elec Generation Ma
6576,6576 - 2nd yr Alt Renewable Energy Small Elec Generation Ma
6577,6577 - 3rd yr Alt Renewable Energy Small Elec Generation Ma
6578,6578 - 4th yr Alt Renewable Energy Small Elec Generation Ma
6579,6579 - 5th yr Alt Renewable Energy Small Elec Generation Ma
6601,6601 - 1st Yr New & Expanding Industry - Air/Water Pollution
6602,6602 - 2nd Yr New & Expanding Industry - Air/Water Pollution
6603,6603 - 3rd Yr New & Expanding Industry - Air/Water Pollution
6604,6604 - 4th Yr New & Expanding Industry - Air/Water Pollution
6605,6605 - 5th Yr New & Expanding Industry - Air/Water Pollution
6606,6606 - 6th Yr New & Expanding Industry - Air/Water Pollution
6607,6607 - 7th Yr New & Expanding Industry - Air/Water Pollution
6608,6608 - 8th Yr New & Expanding Industry - Air/Water Pollution
6609,6609 - 9th Yr New & Expanding Industry - Air/Water Pollution
6810,6810 - Air & Water Pollution Control & Carbon Capture M&E
6811,6811 - Air and Water Pollution Control Machinery & Equipment
6813,6813 - Aluminum Electrolytic Plant Equipment
6815,6815 - All Gasohol Related Property
6816,6816 -1st yr Air & Water Pollution Cntrl & Carbon Capt Mach
6817,6817 - 2nd yr Air & Water Pollution Cntrl & Carbon Capt Mach
6818,6818 - 3rd yr Air & Water Pollution Cntrl & Carbon Capt Mach
6819,6819 - 4th yr Air & Water Pollution Cntrl & Carbon Capt Mach
6820,6820 - 5th yr Air & Water Pollution Cntrl & Carbon Capt Mach
6821,6821 - 6th yr Air & Water Pollution Cntrl & Carbon Capt Mach
6822,6822 - 7th yr Air & Water Pollution Cntrl & Carbon Capt Mach
6823,6823 - 8th yr Air & Water Pollution Cntrl & Carbon Capt Mach
6824,6824 - 9th yr Air & Water Pollution Cntrl & Carbon Capt Mach
6825,6825 -10th yr Air & Water Pollution Cntrl & Carbon Capt Mach
6831,6831 - Cable Television Systems
6832,6832 - Theater Projectors and Sound Equipment
6833,6833 - Radio & Television Broadcasting & Transmitting Equip.
6834,6834 - Citizen Band Radios and Mobile Phones
6835,6835 - All Other Property
6836,6836 - Exempt Class 8 Leased & Rental Equip
6837,6837 - Class 8 Leased & Rental Property
6838,6838 - Oil & Gas Flow Lines
6839,6839 - Oil & Gas Field Storage Processing Tanks
6840,6840 - 1st yr Alt Renewable Energy Small Elec Generation Ma
6841,6841 - 2nd yr Alt Renewable Energy Small Elec Generation Ma
6842,6842 - 3rd yr Alt Renewable Energy Small Elec Generation Ma
6843,6843 - 4th yr Alt Renewable Energy Small Elec Generation Ma
6844,6844 - 5th yr Alt Renewable Energy Small Elec Generation Ma
6900,6900 - Natural Disaster Personal Property
7001,7001 - EPTAP Residential Land & Improvements - .01%
7002,7002 - EPTAP Residential Land & Improvements - .02%
7003,7003 - EPTAP Residential Land & Improvements - .03%
7004,7004 - EPTAP Residential Land & Improvements - .04%
7005,7005 - EPTAP Residential Land & Improvements - .05%
7006,7006 - EPTAP Residential Land & Improvements - .06%
7007,7007 - EPTAP Residential Land & Improvements - .07%
7008,7008 - EPTAP Residential Land & Improvements - .08%
7009,7009 - EPTAP Residential Land & Improvements - .09%
7010,7010 - EPTAP Residential Land & Improvements - .10%
7011,7011 - EPTAP Residential Land & Improvements - .11%
7012,7012 - EPTAP Residential Land & Improvements - .12%
7013,7013 - EPTAP Residential Land & Improvements - .13%
7014,7014 - EPTAP Residential Land & Improvements - .14%
7015,7015 - EPTAP Residential Land & Improvements - .15%
7016,7016 - EPTAP Residential Land & Improvements - .16%
7017,7017 - EPTAP Residential Land & Improvements - .17%
7018,7018 - EPTAP Residential Land & Improvements - .18%
7019,7019 - EPTAP Residential Land & Improvements - .19%
7020,7020 - EPTAP Residential Land & Improvements - .20%
7021,7021 - EPTAP Residential Land & Improvements - .21%
7022,7022 - EPTAP Residential Land & Improvements - .22%
7023,7023 - EPTAP Residential Land & Improvements - .23%
7024,7024 - EPTAP Residential Land & Improvements - .24%
7025,7025 - EPTAP Residential Land & Improvements - .25%
7026,7026 - EPTAP Residential Land & Improvements - .26%
7027,7027 - EPTAP Residential Land & Improvements - .27%
7028,7028 - EPTAP Residential Land & Improvements - .28%
7029,7029 - EPTAP Residential Land & Improvements - .29%
7030,7030 - EPTAP Residential Land & Improvements - .30%
7031,7031 - EPTAP Residential Land & Improvements - .31%
7032,7032 - EPTAP Residential Land & Improvements - .32%
7033,7033 - EPTAP Residential Land & Improvements - .33%
7034,7034 - EPTAP Residential Land & Improvements - .34%
7035,7035 - EPTAP Residential Land & Improvements - .35%
7036,7036 - EPTAP Residential Land & Improvements - .36%
7037,7037 - EPTAP Residential Land & Improvements - .37%
7038,7038 - EPTAP Residential Land & Improvements - .38%
7039,7039 - EPTAP Residential Land & Improvements - .39%
7040,7040 - EPTAP Residential Land & Improvements - .40%
7041,7041 - EPTAP Residential Land & Improvements - .41%
7042,7042 - EPTAP Residential Land & Improvements - .42%
7043,7043 - EPTAP Residential Land & Improvements - .43%
7044,7044 - EPTAP Residential Land & Improvements - .44%
7045,7045 - EPTAP Residential Land & Improvements - .45%
7046,7046 - EPTAP Residential Land & Improvements - .46%
7047,7047 - EPTAP Residential Land & Improvements - .47%
7048,7048 - EPTAP Residential Land & Improvements - .48%
7049,7049 - EPTAP Residential Land & Improvements - .49%
7050,7050 -  EPTAP Residential Land & Improvements - .50%
7051,7051 - EPTAP Residential Land & Improvements - .51%
7052,7052 - EPTAP Residential Land & Improvements - .52%
7053,7053 - EPTAP Residential Land & Improvements - .53%
7054,7054 - EPTAP Residential Land & Improvements - .54%
7055,7055 - EPTAP Residential Land & Improvements - .55%
7056,7056 - EPTAP Residential Land & Improvements - .56%
7057,7057 - EPTAP Residential Land & Improvements - .57%
7058,7058 - EPTAP Residential Land & Improvements - .58%
7059,7059 - EPTAP Residential Land & Improvements - .59%
7060,7060 - EPTAP Residential Land & Improvements - .60%
7061,7061 - EPTAP Residential Land & Improvements - .61%
7062,7062 - EPTAP Residential Land & Improvements - .62%
7063,7063 - EPTAP Residential Land & Improvements - .63%
7064,7064 - EPTAP Residential Land & Improvements - .64%
7065,7065 - EPTAP Residential Land & Improvements - .65%
7066,7066 - EPTAP Residential Land & Improvements - .66%
7067,7067 - EPTAP Residential Land & Improvements - .67%
7068,7068 - EPTAP Residential Land & Improvements - .68%
7069,7069 - EPTAP Residential Land & Improvements - .69%
7070,7070 - EPTAP Residential Land & Improvements - .70%
7071,7071 - EPTAP Residential Land & Improvements - .71%
7072,7072 - EPTAP Residential Land & Improvements - .72%
7073,7073 - EPTAP Residential Land & Improvements - .73%
7074,7074 - EPTAP Residential Land & Improvements - .74%
7075,7075 - EPTAP Residential Land & Improvements - .75%
7076,7076 - EPTAP Residential Land & Improvements - .76%
7077,7077 - EPTAP Residential Land & Improvements - .77%
7078,7078 - EPTAP Residential Land & Improvements - .78%
7079,7079 - EPTAP Residential Land & Improvements - .79%
7080,7080 - EPTAP Residential Land & Improvements - .80%
7081,7081 - EPTAP Residential Land & Improvements - .81%
7082,7082 - EPTAP Residential Land & Improvements - .82%
7083,7083 - EPTAP Residential Land & Improvements - .83%
7084,7084 - EPTAP Residential Land & Improvements - .84%
7085,7085 - EPTAP Residential Land & Improvements - .85%
7086,7086 - EPTAP Residential Land & Improvements - .86%
7087,7087 - EPTAP Residential Land & Improvements - .87%
7088,7088 - EPTAP Residential Land & Improvements - .88%
7089,7089 - EPTAP Residential Land & Improvements - .89%
7090,7090 - EPTAP Residential Land & Improvements - .90%
7091,7091 - EPTAP Residential Land & Improvements - .91%
7092,7092 - EPTAP Residential Land & Improvements - .92%
7093,7093 - EPTAP Residential Land & Improvements - .93%
7094,7094 - EPTAP Residential Land & Improvements - .94%
7095,7095 - EPTAP Residential Land & Improvements - .95%
7096,7096 - EPTAP Residential Land & Improvements - .96%
7097,7097 - EPTAP Residential Land & Improvements - .97%
7098,7098 - EPTAP Residential Land & Improvements - .98%
7099,7099 - EPTAP Residential Land & Improvements - .99%
7100,7100 - EPTAP Residential Land & Improvements - 1.00%
7101,7101 - EPTAP Residential Land & Improvements - 1.01%
7102,7102 - EPTAP Residential Land & Improvements - 1.02%
7103,7103 - EPTAP Residential Land & Improvements - 1.03%
7104,7104 - EPTAP Residential Land & Improvements - 1.04%
7105,7105 - EPTAP Residential Land & Improvements - 1.05%
7106,7106 - EPTAP Residential Land & Improvements - 1.06%
7107,7107 - EPTAP Residential Land & Improvements - 1.07%
7108,7108 - EPTAP Residential Land & Improvements - 1.08%
7109,7109 - EPTAP Residential Land & Improvements - 1.09%
7110,7110 - EPTAP Residential Land & Improvements - 1.10%
7111,7111 - EPTAP Residential Land & Improvements - 1.11%
7112,7112 - EPTAP Residential Land & Improvements - 1.12%
7113,7113 - EPTAP Residential Land & Improvements - 1.13%
7114,7114 - EPTAP Residential Land & Improvements - 1.14%
7115,7115 - EPTAP Residential Land & Improvements - 1.15%
7116,7116 - EPTAP Residential Land & Improvements - 1.16%
7117,7117 - EPTAP Residential Land & Improvements - 1.17%
7118,7118 - EPTAP Residential Land & Improvements - 1.18%
7119,7119 - EPTAP Residential Land & Improvements - 1.19%
7120,7120 - EPTAP Residential Land & Improvements - 1.20%
7121,7121 - EPTAP Residential Land & Improvements - 1.21%
7122,7122 - EPTAP Residential Land & Improvements - 1.22%
7123,7123 - EPTAP Residential Land & Improvements - 1.23%
7124,7124 - EPTAP Residential Land & Improvements - 1.24%
7125,7125 - EPTAP Residential Land & Improvements - 1.25%
7126,7126 - EPTAP Residential Land & Improvements - 1.26%
7127,7127 - EPTAP Residential Land & Improvements - 1.27%
7128,7128 - EPTAP Residential Land & Improvements - 1.28%
7129,7129 - EPTAP Residential Land & Improvements - 1.29%
7130,7130 -  EPTAP Residential Land & Improvements - 1.30%
7131,7131 - EPTAP Residential Land & Improvements - 1.31%
7132,7132 - EPTAP Residential Land & Improvements - 1.32%
7133,7133 - EPTAP Residential Land & Improvements - 1.33%
7134,7134 - EPTAP Residential Land & Improvements - 1.34%
7135,7135 - EPTAP Residential Land & Improvements - 1.35%
7136,7136 - EPTAP Residential Land & Improvements - 1.36%
7137,7137 - EPTAP Residential Land & Improvements - 1.37%
7138,7138 - EPTAP Residential Land & Improvements - 1.38%
7139,7139 - EPTAP Residential Land & Improvements - 1.39%
7140,7140 - EPTAP Residential Land & Improvements - 1.40%
7141,7141 - EPTAP Residential Land & Improvements - 1.41%
7142,7142 - EPTAP Residential Land & Improvements - 1.42%
7143,7143 - EPTAP Residential Land & Improvements - 1.43%
7144,7144 - EPTAP Residential Land & Improvements - 1.44%
7145,7145 - EPTAP Residential Land & Improvements - 1.45%
7146,7146 - EPTAP Residential Land & Improvements - 1.46%
7147,7147 - EPTAP Residential Land & Improvements - 1.47%
7148,7148 - EPTAP Residential Land & Improvements - 1.48%
7149,7149 - EPTAP Residential Land & Improvements - 1.49%
7150,7150 - EPTAP Residential Land & Improvements - 1.50%
7151,7151 - EPTAP Residential Land & Improvements - 1.51%
7152,7152 - EPTAP Residential Land & Improvements - 1.52%
7153,7153 - EPTAP Residential Land & Improvements - 1.53%
7154,7154 - EPTAP Residential Land & Improvements - 1.54%
7155,7155 - EPTAP Residential Land & Improvements - 1.55%
7156,7156 - EPTAP Residential Land & Improvements - 1.56%
7157,7157 - EPTAP Residential Land & Improvements - 1.57%
7158,7158 - EPTAP Residential Land & Improvements - 1.58%
7159,7159 - EPTAP Residential Land & Improvements - 1.59%
7160,7160 - EPTAP Residential Land & Improvements - 1.60%
7161,7161 - EPTAP Residential Land & Improvements - 1.61%
7162,7162 - EPTAP Residential Land & Improvements - 1.62%
7163,7163 - EPTAP Residential Land & Improvements - 1.63%
7164,7164 - EPTAP Residential Land & Improvements - 1.64%
7165,7165 - EPTAP Residential Land & Improvements - 1.65%
7166,7166 - EPTAP Residential Land & Improvements - 1.66%
7167,7167 - EPTAP Residential Land & Improvements - 1.67%
7168,7168 - EPTAP Residential Land & Improvements - 1.68%
7169,7169 - EPTAP Residential Land & Improvements - 1.69%
7170,7170 - EPTAP Residential Land & Improvements - 1.70%
7171,7171 - EPTAP Residential Land & Improvements - 1.71%
7172,7172 - EPTAP Residential Land & Improvements - 1.72%
7173,7173 - EPTAP Residential Land & Improvements - 1.73%
7174,7174 - EPTAP Residential Land & Improvements - 1.74%
7175,7175 - EPTAP Residential Land & Improvements - 1.75%
7176,7176 - EPTAP Residential Land & Improvements - 1.76%
7177,7177 - EPTAP Residential Land & Improvements - 1.77%
7178,7178 - EPTAP Residential Land & Improvements - 1.78%
7179,7179 - EPTAP Residential Land & Improvements - 1.79%
7180,7180 - EPTAP Residential Land & Improvements - 1.80%
7181,7181 - EPTAP Residential Land & Improvements - 1.81%
7182,7182 - EPTAP Residential Land & Improvements - 1.82%
7183,7183 - EPTAP Residential Land & Improvements - 1.83%
7184,7184 - EPTAP Residential Land & Improvements - 1.84%
7185,7185 - EPTAP Residential Land & Improvements - 1.85%
7186,7186 - EPTAP Residential Land & Improvements - 1.86%
7187,7187 - EPTAP Residential Land & Improvements - 1.87%
7188,7188 - EPTAP Residential Land & Improvements - 1.88%
7189,7189 - EPTAP Residential Land & Improvements - 1.89%
7190,7190 - EPTAP Residential Land & Improvements - 1.90%
7191,7191 - EPTAP Residential Land & Improvements - 1.91%
7192,7192 - EPTAP Residential Land & Improvements - 1.92%
7193,7193 - EPTAP Residential Land & Improvements - 1.93%
7194,7194 - EPTAP Residential Land & Improvements - 1.94%
7195,7195 - EPTAP Residential Land & Improvements - 1.95%
7196,7196 - EPTAP Residential Land & Improvements - 1.96%
7197,7197 - EPTAP Residential Land & Improvements - 1.97%
7198,7198 - EPTAP Residential Land & Improvements - 1.98%
7199,7199 - EPTAP Residential Land & Improvements - 1.99%
7200,7200 - EPTAP Residential Land & Improvements - 2.00%
7201,7201 - EPTAP Residential Land & Improvements - 2.01%
7202,7202 - EPTAP Residential Land & Improvements - 2.02%
7203,7203 - EPTAP Residential Land & Improvements - 2.03%
7204,7204 - EPTAP Residential Land & Improvements - 2.04%
7205,7205 - EPTAP Residential Land & Improvements - 2.05%
7206,7206 - EPTAP Residential Land & Improvements - 2.06%
7207,7207 - EPTAP Residential Land & Improvements - 2.07%
7208,7208 - EPTAP Residential Land & Improvements - 2.08%
7209,7209 - EPTAP Residential Land & Improvements - 2.09%
7210,7210 - EPTAP Residential Land & Improvements - 2.10%
7211,7211 - EPTAP Residential Land & Improvements - 2.11%
7212,7212 - EPTAP Residential Land & Improvements - 2.12%
7213,7213 - EPTAP Residential Land & Improvements - 2.13%
7214,7214 - EPTAP Residential Land & Improvements - 2.14%
7215,7215 - EPTAP Residential Land & Improvements - 2.15%
7216,7216 - EPTAP Residential Land & Improvements - 2.16%
7217,7217 - EPTAP Residential Land & Improvements - 2.17%
7218,7218 - EPTAP Residential Land & Improvements - 2.18%
7219,7219 - EPTAP Residential Land & Improvements - 2.19%
7220,7220 - EPTAP Residential Land & Improvements - 2.20%
7221,7221 - EPTAP Residential Land & Improvements - 2.21%
7222,7222 - EPTAP Residential Land & Improvements - 2.22%
7223,7223 - EPTAP Residential Land & Improvements - 2.23%
7224,7224 - EPTAP Residential Land & Improvements - 2.24%
7225,7225 - EPTAP Residential Land & Improvements - 2.25%
7226,7226 - EPTAP Residential Land & Improvements - 2.26%
7227,7227 - EPTAP Residential Land & Improvements - 2.27%
7228,7228 - EPTAP Residential Land & Improvements - 2.28%
7229,7229 - EPTAP Residential Land & Improvements - 2.29%
7230,7230 -  EPTAP Residential Land & Improvements - 2.30%
7231,7231 - EPTAP Residential Land & Improvements - 2.31%
7232,7232 - EPTAP Residential Land & Improvements - 2.32%
7233,7233 - EPTAP Residential Land & Improvements - 2.33%
7234,7234 - EPTAP Residential Land & Improvements - 2.34%
7235,7235 - EPTAP Residential Land & Improvements - 2.35%
7236,7236 - EPTAP Residential Land & Improvements - 2.36%
7237,7237 - EPTAP Residential Land & Improvements - 2.37%
7238,7238 - EPTAP Residential Land & Improvements - 2.38%
7239,7239 - EPTAP Residential Land & Improvements - 2.39%
7240,7240 - EPTAP Residential Land & Improvements - 2.40%
7241,7241 - EPTAP Residential Land & Improvements - 2.41%
7242,7242 - EPTAP Residential Land & Improvements - 2.42%
7243,7243 - EPTAP Residential Land & Improvements - 2.43%
7244,7244 - EPTAP Residential Land & Improvements - 2.44%
7245,7245 - EPTAP Residential Land & Improvements - 2.45%
7246,7246 - EPTAP Residential Land & Improvements - 2.46%
7247,7247 - EPTAP Residential Land & Improvements - 2.47%
7248,7248 - EPTAP Residential Land & Improvements - 2.48%
7249,7249 - EPTAP Residential Land & Improvements - 2.49%
7250,7250 - EPTAP Residential Land & Improvements - 2.50%
7251,7251 - EPTAP Residential Land & Improvements - 2.51%
7252,7252 -  EPTAP Residential Land & Improvements - 2.52%
7253,7253 - EPTAP Residential Land & Improvements - 2.53%
7254,7254 - EPTAP Residential Land & Improvements - 2.54%
7255,7255 - EPTAP Residential Land & Improvements - 2.55%
7256,7256 - EPTAP Residential Land & Improvements - 2.56%
7257,7257 - EPTAP Residential Land & Improvements - 2.57%
7258,7258 - EPTAP Residential Land & Improvements - 2.58%
7259,7259 - EPTAP Residential Land & Improvements - 2.59%
7260,7260 - EPTAP Residential Land & Improvements - 2.60%
7261,7261 - EPTAP Residential Land & Improvements - 2.61%
7262,7262 - EPTAP Residential Land & Improvements - 2.62%
7263,7263 - EPTAP Residential Land & Improvements - 2.63%
7264,7264 - EPTAP Residential Land & Improvements - 2.64%
7265,7265 - EPTAP Residential Land & Improvements - 2.65%
7266,7266 - EPTAP Residential Land & Improvements - 2.66%
7267,7267 - EPTAP Residential Land & Improvements - 2.67%
7268,7268 - EPTAP Residential Land & Improvements - 2.68%
7269,7269 - EPTAP Residential Land & Improvements - 2.69%
7270,7270 - EPTAP Residential Land & Improvements - 2.70%
7271,7271 - EPTAP Residential Land & Improvements - 2.71%
7272,7272 - EPTAP Residential Land & Improvements - 2.72%
7273,7273 - EPTAP Residential Land & Improvements - 2.73%
7274,7274 - EPTAP Residential Land & Improvements - 2.74%
7275,7275 - EPTAP Residential Land & Improvements - 2.75%
7276,7276 - EPTAP Residential Land & Improvements - 2.76%
7277,7277 - EPTAP Residential Land & Improvements - 2.77%
7278,7278 - EPTAP Residential Land & Improvements - 2.78%
7279,7279 - EPTAP Residential Land & Improvements - 2.79%
7280,7280 - EPTAP Residential Land & Improvements - 2.80%
7281,7281 - EPTAP Residential Land & Improvements - 2.81%
7282,7282 - EPTAP Residential Land & Improvements - 2.82%
7283,7283 - EPTAP Residential Land & Improvements - 2.83%
